
#################################################################
#@  
#@  
#@  
####################################   2025-11-30[Nov-Sun]15-52PM 



opencloud-1  | 2025-11-30T19:44:07Z INF   Recovering 9 consumers for stream - '$G > main-queue' line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG JetStream state for account "$G" recovered line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF Listening for client connections on 127.0.0.1:9233 line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF Server is ready line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG 127.0.0.1:46382 - cid:29 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG 127.0.0.1:46392 - cid:30 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF running on 8 cpus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/cmd/revad/runtime/runtime.go:179 service=gateway
opencloud-1  | 2025-11-30T19:44:07Z INF no probe provided, reverting to default (OK) endpoint=/healthz line=github.com/opencloud-eu/opencloud/pkg/service/debug/service.go:27 service=gateway
opencloud-1  | 2025-11-30T19:44:07Z INF registering external service eu.opencloud.api.gateway-91c5c4b3-13ef-4942-bbbd-2800c4933407@127.0.0.1:9142 line=github.com/opencloud-eu/opencloud/pkg/registry/register.go:19 service=gateway
opencloud-1  | 2025-11-30T19:44:07Z INF rgrpc: grpc service enabled: gateway host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=gateway
opencloud-1  | 2025-11-30T19:44:07Z INF rgrpc: grpc service enabled: authregistry host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=gateway
opencloud-1  | 2025-11-30T19:44:07Z DBG JETSTREAM - JetStream connection closed: Client Closed line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG JETSTREAM - JetStream connection closed: Client Closed line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
